Price,Sqft,Location,Bed,Bath
"$1,088,000",--,queens-new-york-ny,3,3
"$1,697,850",--,queens-new-york-ny,6,4
"$5,500,000","5,935",queens-new-york-ny,6,6
"$610,000",--,queens-new-york-ny,3,2
"$159,000",--,queens-new-york-ny,1,1
"$699,000","1,700",queens-new-york-ny,4,4
"$750,000","1,184",queens-new-york-ny,3,2
"$299,000",--,queens-new-york-ny,5,2
"$775,000","1,230",queens-new-york-ny,4,2
"$725,000",--,queens-new-york-ny,2,2
"$475,000","2,200",queens-new-york-ny,2,1
"$325,000",753,queens-new-york-ny,2,1
"$349,000",--,queens-new-york-ny,2,1
"$1,500,000","3,000",queens-new-york-ny,8,5
"$269,900",--,queens-new-york-ny,1,1
"$320,000",450,queens-new-york-ny,1,1
"$379,999",--,queens-new-york-ny,6,3
"$699,000","1,800",queens-new-york-ny,4,3
"$219,000",--,queens-new-york-ny,1,1
"$199,999",750,queens-new-york-ny,1,1
"$1,188,000","1,250",queens-new-york-ny,4,2
"$789,000","1,125",queens-new-york-ny,3,2
"$160,000",--,queens-new-york-ny,2,1
"$479,000","1,800",queens-new-york-ny,4,2
"$789,777","2,915",queens-new-york-ny,5,3
"$1,050,000",--,queens-new-york-ny,4,3
"$818,000",--,queens-new-york-ny,3,3
"$660,000",--,queens-new-york-ny,3,2
"$409,000",800,queens-new-york-ny,2,1
"$199,000",--,queens-new-york-ny,1,1
"$119,000",--,queens-new-york-ny,--,1
"$1,899,000","2,430",queens-new-york-ny,6,5
"$1,700,000",--,queens-new-york-ny,5,3
"$950,000",--,queens-new-york-ny,3,2
"$299,000",800,queens-new-york-ny,1,1
"$799,999","1,560",queens-new-york-ny,4,2
"$925,000","2,389",queens-new-york-ny,6,3
"$1,500,000",--,queens-new-york-ny,9,10
"$899,000","1,200",queens-new-york-ny,4,2
"$399,000",--,queens-new-york-ny,2,1
"$350,000",--,queens-new-york-ny,2,1
"$639,000","1,154",queens-new-york-ny,3,1
"$215,000","1,509",queens-new-york-ny,0,--
"$540,000",--,queens-new-york-ny,2,2
"$799,000",--,queens-new-york-ny,4,3
"$1,349,000","2,692",queens-new-york-ny,8,5
"$940,000",--,queens-new-york-ny,9,4
"$1,249,000",--,queens-new-york-ny,4,4
"$829,999",--,queens-new-york-ny,5,3
"$1,275,000",--,queens-new-york-ny,9,3
"$599,999","1,088",queens-new-york-ny,3,2
"$1,699,999","1,875",queens-new-york-ny,4,5
"$599,000","1,680",queens-new-york-ny,3,2
"$269,000",--,queens-new-york-ny,2,1
"$220,000",--,queens-new-york-ny,2,1
"$549,000","1,400",queens-new-york-ny,3,3
"$2,359,000",--,queens-new-york-ny,5,6
"$349,000",875,queens-new-york-ny,2,1
"$1,298,888",--,queens-new-york-ny,15,9
"$1,199,000","2,929",queens-new-york-ny,7,3
"$649,000","1,200",queens-new-york-ny,3,2
"$899,000",--,queens-new-york-ny,5,2
"$2,388,000","3,802",queens-new-york-ny,5,5
"$1,088,000","1,125",queens-new-york-ny,3,2
"$388,888",950,queens-new-york-ny,3,1
"$350,000",975,queens-new-york-ny,2,1
"$600,000",--,queens-new-york-ny,3,3
"$359,990",--,queens-new-york-ny,3,1
"$1,480,000",--,queens-new-york-ny,3,4
"$1,180,000","1,900",queens-new-york-ny,3,3
"$609,000","1,208",queens-new-york-ny,3,3
"$888,000",--,queens-new-york-ny,5,3
"$499,000","2,594",queens-new-york-ny,3,2
"$600,000","2,400",queens-new-york-ny,3,3
"$299,000",950,queens-new-york-ny,2,1
"$2,598,800","3,222",queens-new-york-ny,5,7
"$3,999,000","6,000",queens-new-york-ny,5,5
"$699,900","1,280",queens-new-york-ny,3,1
"$1,088,888","2,950",queens-new-york-ny,7,3
"$799,000",700,queens-new-york-ny,2,2
"$699,000",--,queens-new-york-ny,2,2
"$770,000",--,queens-new-york-ny,3,2
"$675,000",--,queens-new-york-ny,5,3
"$359,000",769,queens-new-york-ny,1,1
"$1,350,000",--,queens-new-york-ny,3,2
"$1,135,000","3,000",queens-new-york-ny,6,5
"$1,175,000","2,137",queens-new-york-ny,3,1
"$658,000","1,188",queens-new-york-ny,4,2
"$165,000",--,queens-new-york-ny,1,1
"$938,000","1,700",queens-new-york-ny,2,2
"$295,000",720,queens-new-york-ny,1,1
"$119,000",500,queens-new-york-ny,0,1
"$399,000","1,200",queens-new-york-ny,2,2
"$295,000",--,queens-new-york-ny,1,1
"$1,080,000",--,queens-new-york-ny,3,3
"$588,000",--,queens-new-york-ny,4,2
"$824,900","1,400",queens-new-york-ny,3,3
"$330,000",721,queens-new-york-ny,2,1
"$999,000","1,195",queens-new-york-ny,2,1
"$1,150,000",--,queens-new-york-ny,4,3
"$229,000",900,queens-new-york-ny,2,1
"$575,000",--,queens-new-york-ny,3,2
"$1,450,000","3,000",queens-new-york-ny,7,3
"$648,888",--,queens-new-york-ny,2,2
"$295,000",500,queens-new-york-ny,0,1
"$289,800",--,queens-new-york-ny,2,1
"$1,249,000",--,queens-new-york-ny,3,3
"$11,000,000",--,queens-new-york-ny,5,7
"$1,699,888","2,275",queens-new-york-ny,3,3
"$948,000","1,880",queens-new-york-ny,4,2
"$200,000",613,queens-new-york-ny,1,1
"$4,500,000",--,queens-new-york-ny,4,5
"$1,058,888",--,queens-new-york-ny,3,3
"$200,000","1,780",queens-new-york-ny,0,--
"$745,000","1,077",queens-new-york-ny,2,2
"$128,000",--,queens-new-york-ny,0,1
"$1,550,000","1,324",queens-new-york-ny,0,2
"$718,000",--,queens-new-york-ny,3,2
"$199,000",--,queens-new-york-ny,1,1
"$1,350,000","2,150",queens-new-york-ny,5,3
"$980,000",--,queens-new-york-ny,5,3
"$849,900",--,queens-new-york-ny,4,2
"$339,000",700,queens-new-york-ny,1,1
"$780,000","2,025",queens-new-york-ny,2,2
"$305,000",600,queens-new-york-ny,2,1
"$3,650,000","3,524",brooklyn-new-york-ny,4,4
"$1,688,000","3,828",brooklyn-new-york-ny,8,6
"$999,000","3,630",brooklyn-new-york-ny,7,5
"$1,150,000","1,827",brooklyn-new-york-ny,3,2
"$14,000,000","7,200",brooklyn-new-york-ny,5,8
"$1,695,000","2,478",brooklyn-new-york-ny,4,5
"$615,000",525,brooklyn-new-york-ny,1,--
"$3,595,000","3,000",brooklyn-new-york-ny,5,4
"$999,999",--,brooklyn-new-york-ny,3,3
"$875,000","2,836",brooklyn-new-york-ny,4,2
"$1,099,999","1,840",brooklyn-new-york-ny,4,3
"$1,249,000","3,050",brooklyn-new-york-ny,8,3
"$729,000","1,810",brooklyn-new-york-ny,6,3
"$9,995,000","5,671",brooklyn-new-york-ny,5,7
"$150,000",432,brooklyn-new-york-ny,0,1
"$1,800,000","3,180",brooklyn-new-york-ny,10,3
"$979,000","1,006",brooklyn-new-york-ny,3,1
"$675,000","2,482",brooklyn-new-york-ny,3,2
"$725,000",--,brooklyn-new-york-ny,2,1
"$589,000",725,brooklyn-new-york-ny,3,1
"$779,000","1,540",brooklyn-new-york-ny,3,2
"$500,000",--,brooklyn-new-york-ny,1,1
"$1,695,000","4,420",brooklyn-new-york-ny,9,6
"$638,000","1,320",brooklyn-new-york-ny,3,2
"$580,000",--,brooklyn-new-york-ny,2,1
"$1,950,000","2,320",brooklyn-new-york-ny,4,4
"$1,699,000","2,769",brooklyn-new-york-ny,8,4
"$875,000",--,brooklyn-new-york-ny,5,3
"$349,999",873,brooklyn-new-york-ny,2,1
"$2,699,000","2,000",brooklyn-new-york-ny,5,3
"$1,450,000",--,brooklyn-new-york-ny,3,2
"$825,000","1,176",brooklyn-new-york-ny,4,2
"$1,330,000",--,brooklyn-new-york-ny,7,3
"$2,200,000","2,362",brooklyn-new-york-ny,4,4
"$2,699,000","2,800",brooklyn-new-york-ny,4,3
"$899,000","2,115",brooklyn-new-york-ny,5,3
"$725,000","2,266",brooklyn-new-york-ny,4,3
"$758,000",--,brooklyn-new-york-ny,3,2
"$550,000","1,480",brooklyn-new-york-ny,3,2
"$938,000","1,204",brooklyn-new-york-ny,3,1
"$1,750,000","5,000",brooklyn-new-york-ny,9,8
"$950,000","4,125",brooklyn-new-york-ny,6,6
"$5,999,000",--,brooklyn-new-york-ny,5,3
"$2,800,000","3,400",brooklyn-new-york-ny,5,4
"$1,390,000",--,brooklyn-new-york-ny,7,3
"$2,499,000","1,732",brooklyn-new-york-ny,4,2
"$420,000",--,brooklyn-new-york-ny,1,1
"$894,000","1,056",brooklyn-new-york-ny,2,2
"$3,200,000","1,786",brooklyn-new-york-ny,3,3
"$2,700,000","2,640",brooklyn-new-york-ny,7,4
"$8,495,000",--,brooklyn-new-york-ny,5,6
"$245,000","1,050",brooklyn-new-york-ny,3,1
"$3,650,000","3,125",brooklyn-new-york-ny,4,5
"$1,849,000",--,brooklyn-new-york-ny,6,3
"$2,350,000",--,brooklyn-new-york-ny,3,2
"$270,000",--,brooklyn-new-york-ny,0,1
"$375,000",915,brooklyn-new-york-ny,1,1
"$1,495,000",--,brooklyn-new-york-ny,4,2
"$569,000","1,300",brooklyn-new-york-ny,2,2
"$749,000","1,348",brooklyn-new-york-ny,4,2
"$1,249,000","1,928",brooklyn-new-york-ny,4,3
"$789,000","1,017",brooklyn-new-york-ny,3,2
"$429,777",650,brooklyn-new-york-ny,2,1
"$979,000","1,827",brooklyn-new-york-ny,3,3
"$269,000",625,brooklyn-new-york-ny,1,1
"$749,000","1,802",brooklyn-new-york-ny,3,2
"$1,495,000","1,700",brooklyn-new-york-ny,3,2
"$245,000",--,brooklyn-new-york-ny,0,1
"$1,088,000","3,315",brooklyn-new-york-ny,8,5
"$1,150,000","1,450",brooklyn-new-york-ny,12,7
"$925,000","2,880",brooklyn-new-york-ny,6,3
"$799,000","3,000",brooklyn-new-york-ny,3,3
"$689,000","1,284",brooklyn-new-york-ny,3,4
"$473,000","1,216",brooklyn-new-york-ny,3,2
"$895,000",827,brooklyn-new-york-ny,2,2
"$1,650,000","2,000",brooklyn-new-york-ny,3,2
"$739,000",989,brooklyn-new-york-ny,2,2
"$1,995,000","1,230",brooklyn-new-york-ny,3,2
"$1,850,000","3,300",brooklyn-new-york-ny,6,4
"$2,175,000","1,357",brooklyn-new-york-ny,3,3
"$1,395,000","3,400",brooklyn-new-york-ny,8,5
"$1,999,000","2,400",brooklyn-new-york-ny,5,4
"$259,999",--,brooklyn-new-york-ny,3,1
"$1,650,000","3,360",brooklyn-new-york-ny,6,4
"$449,944",889,brooklyn-new-york-ny,2,1
"$1,300,000","5,313",brooklyn-new-york-ny,6,2
"$2,995,000",--,brooklyn-new-york-ny,4,6
"$2,100,000","3,000",brooklyn-new-york-ny,4,4
"$858,000","1,632",brooklyn-new-york-ny,4,3
"$528,000",790,brooklyn-new-york-ny,3,2
"$3,200,000","3,600",brooklyn-new-york-ny,4,4
"$1,875,000","2,312",brooklyn-new-york-ny,3,3
"$229,000",--,brooklyn-new-york-ny,1,1
"$699,000","1,560",brooklyn-new-york-ny,4,2
"$789,000",--,brooklyn-new-york-ny,3,3
"$2,835,000","1,498",brooklyn-new-york-ny,3,2
"$585,000","1,200",brooklyn-new-york-ny,2,2
"$1,495,000","1,000",brooklyn-new-york-ny,2,2
"$1,049,000","1,392",brooklyn-new-york-ny,3,1
"$955,000","1,077",brooklyn-new-york-ny,2,2
"$660,000",--,brooklyn-new-york-ny,1,1
"$438,000","1,200",brooklyn-new-york-ny,3,2
"$268,800",725,brooklyn-new-york-ny,1,1
"$5,799,000","4,693",brooklyn-new-york-ny,6,5
"$600,000",--,brooklyn-new-york-ny,4,4
"$729,999","1,600",brooklyn-new-york-ny,3,2
"$765,000","1,216",brooklyn-new-york-ny,4,3
"$729,000","1,944",brooklyn-new-york-ny,4,4
"$649,000","1,008",brooklyn-new-york-ny,3,2
"$2,200,000","1,650",brooklyn-new-york-ny,3,3
"$995,000",942,brooklyn-new-york-ny,2,2
"$1,650,000","3,560",brooklyn-new-york-ny,8,3
"$1,800,000","2,700",brooklyn-new-york-ny,8,4
"$229,000",550,brooklyn-new-york-ny,1,1
"$979,999","2,340",brooklyn-new-york-ny,6,5
"$1,388,000","1,804",brooklyn-new-york-ny,5,2
"$448,000",560,brooklyn-new-york-ny,2,1
"$1,138,200","3,463",brooklyn-new-york-ny,3,4
"$1,200,000","1,058",brooklyn-new-york-ny,2,2
"$1,100,000",--,brooklyn-new-york-ny,3,3
"$595,000",698,brooklyn-new-york-ny,1,1
"$1,149,000","2,169",brooklyn-new-york-ny,5,4
"$399,999","1,000",brooklyn-new-york-ny,2,1
"$988,000","1,436",brooklyn-new-york-ny,3,2
"$1,388,000","2,640",brooklyn-new-york-ny,3,3
"$1,699,000","3,420",brooklyn-new-york-ny,6,5
"$33,000,000","11,638",manhattan-new-york-ny,12,12
"$4,895,000","2,208",manhattan-new-york-ny,2,2
"$20,000,000","5,000",manhattan-new-york-ny,5,5
"$5,550,000","3,300",manhattan-new-york-ny,4,3
"$75,000,000","7,587",manhattan-new-york-ny,5,7
"$57,500,000","12,500",manhattan-new-york-ny,8,12
"$14,600,000","6,630",manhattan-new-york-ny,6,9
"$399,000",--,manhattan-new-york-ny,2,1
"$20,000,000","5,500",manhattan-new-york-ny,3,5
"$50,000,000","6,569",manhattan-new-york-ny,6,7
"$28,500,000","12,300",manhattan-new-york-ny,6,11
"$56,000,000","24,000",manhattan-new-york-ny,11,10
"$600,000",984,manhattan-new-york-ny,2,2
"$399,000",--,manhattan-new-york-ny,2,2
"$38,000,000","15,950",manhattan-new-york-ny,8,10
"$34,500,000",--,manhattan-new-york-ny,5,5
"$70,000,000",--,manhattan-new-york-ny,8,8
"$75,000,000","7,074",manhattan-new-york-ny,5,6
"$2,995,000",--,manhattan-new-york-ny,3,3
"$650,000",--,manhattan-new-york-ny,1,1
"$13,995,000","6,815",manhattan-new-york-ny,5,10
"$25,000,000","6,514",manhattan-new-york-ny,7,8
"$329,000",500,manhattan-new-york-ny,1,1
"$7,950,000","3,397",manhattan-new-york-ny,3,4
"$299,000",--,manhattan-new-york-ny,0,1
"$5,999,000","3,700",manhattan-new-york-ny,3,3
"$850,000",775,manhattan-new-york-ny,2,1
"$5,995,000","6,425",manhattan-new-york-ny,10,9
"$245,000",--,manhattan-new-york-ny,0,1
"$779,000",--,manhattan-new-york-ny,1,1
"$9,400,000",--,manhattan-new-york-ny,4,5
"$27,500,000","10,325",manhattan-new-york-ny,7,9
"$3,000,000","2,100",manhattan-new-york-ny,3,3
"$12,495,000","6,310",manhattan-new-york-ny,4,6
"$990,000","1,365",manhattan-new-york-ny,3,3
"$2,350,000",--,manhattan-new-york-ny,2,2
"$2,900,000","2,384",manhattan-new-york-ny,1,2
"$20,000,000","11,395",manhattan-new-york-ny,6,12
"$599,000",--,manhattan-new-york-ny,2,1
"$5,995,000","2,435",manhattan-new-york-ny,4,4
"$42,500,000","7,848",manhattan-new-york-ny,4,4
"$11,450,000","8,000",manhattan-new-york-ny,10,10
"$279,000",--,manhattan-new-york-ny,3,1
"$258,000",--,manhattan-new-york-ny,0,1
"$1,225,000",--,manhattan-new-york-ny,2,2
"$497,750",--,manhattan-new-york-ny,2,1
"$375,000",--,manhattan-new-york-ny,1,1
"$2,395,000",--,manhattan-new-york-ny,2,2
"$5,500,000","2,241",manhattan-new-york-ny,3,4
"$400,000",--,manhattan-new-york-ny,1,1
"$23,000,000","7,058",manhattan-new-york-ny,5,8
"$45,000,000","22,750",manhattan-new-york-ny,10,14
"$29,950,000","8,750",manhattan-new-york-ny,10,13
"$44,500,000",--,manhattan-new-york-ny,5,6
"$505,000",--,manhattan-new-york-ny,3,1
"$1,100,000",600,manhattan-new-york-ny,1,1
"$399,000",--,manhattan-new-york-ny,1,1
"$2,700,000",--,manhattan-new-york-ny,4,3
"$7,000,000","3,000",manhattan-new-york-ny,3,4
"$995,000","1,150",manhattan-new-york-ny,2,2
"$27,000,000","3,739",manhattan-new-york-ny,3,4
"$1,925,000","2,743",manhattan-new-york-ny,4,5
"$275,000",--,manhattan-new-york-ny,1,1
"$1,700,000","1,265",manhattan-new-york-ny,2,2
"$2,840,000","2,140",manhattan-new-york-ny,4,4
"$3,963,750","1,638",manhattan-new-york-ny,2,3
"$12,250,000","5,670",manhattan-new-york-ny,7,8
"$14,995,000","6,000",manhattan-new-york-ny,5,6
"$31,400,000","7,762",manhattan-new-york-ny,8,8
